gene,wnt3a,wnt5a,wnt3a_direction,wnt5a_direction,wnt3a_unadjusted,wnt5a_unadjusted,full_names,descriptions
KCNK12,0.0,0.0,-,-,0.0,0.0,potassium channel subfamily K member 12 potassium channel two pore domain subfamily K member 12 tandem pore domain halothane-inhibited potassium channel 2 tandem pore domain potassium channel THIK-2,This gene encodes one of the members of the superfamily of potassium channel proteins containing two pore-forming P domains. The product of this gene has not been shown to be a functional channel however it may require other non-pore-forming proteins for activity. [provided by RefSeq Jul 2008]
MTMR7,0.0,0.0,+,+,0.0,0.0,inositol 13-bisphosphate phosphatase phosphatidylinositol-3-phosphate phosphatase,This gene encodes a member of the myotubularin family of tyrosine/dual-specificity phosphatases. The encoded protein is characterized by four distinct domains that are conserved among all members of the myotubularin family: the glucosyltransferase Rab-like GTPase activator and myotubularins domain the Rac-induced recruitment domain the protein tyrosine phosphatases and dual-specificity phosphatases domain and the suppressor of variegation 3-9 enhancer-of-zeste and trithorax interaction domain. This protein dephosphorylates the target substrates phosphatidylinositol 3-phosphate and inositol 13-bisphosphate. A pseudogene of this gene is found on chromosome 5. [provided by RefSeq Mar 2009]
MOSPD2,0.0,0.0,+,+,0.0,0.0,,
EMILIN1,0.0,0.0,-,-,0.0,0.0,elastin microfibril interface-located protein 1,This gene encodes an extracellular matrix glycoprotein that is characterized by an N-terminal microfibril interface domain a coiled-coiled alpha-helical domain a collagenous domain and a C-terminal globular C1q domain. The encoded protein associates with elastic fibers at the interface between elastin and microfibrils and may play a role in the development of elastic tissues including large blood vessels dermis heart and lung. [provided by RefSeq Sep 2009]
IFITM10,0.0,0.0,-,-,0.0,0.0,dispanin subfamily A member 3,Predicted to be integral component of membrane. Predicted to be active in plasma membrane. [provided by Alliance of Genome Resources Apr 2022]
ZNF414,0.0,0.0,-,-,0.0,0.0,,
RARG,0.0,0.0,-,-,0.0,0.0,RAR-gamma nuclear receptor subfamily 1 group B member 3,This gene encodes a retinoic acid receptor that belongs to the nuclear hormone receptor family. Retinoic acid receptors (RARs) act as ligand-dependent transcriptional regulators. When bound to ligands RARs activate transcription by binding as heterodimers to the retinoic acid response elements (RARE) found in the promoter regions of the target genes. In their unbound form RARs repress transcription of their target genes. RARs are involved in various biological processes including limb bud development skeletal growth and matrix homeostasis. Alternatively spliced transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq Aug 2011]
SAMHD1,0.0,0.0,+,+,0.0,0.0,SAM domain and HD domain 1 SAM domain and HD domain-containing protein 1 dNTPase dendritic cell-derived IFNG-induced protein monocyte protein 5,This gene may play a role in regulation of the innate immune response. The encoded protein is upregulated in response to viral infection and may be involved in mediation of tumor necrosis factor-alpha proinflammatory responses. Mutations in this gene have been associated with Aicardi-Goutieres syndrome. [provided by RefSeq Mar 2010]
MGRN1,0.23331237429557394,0.23331237429557394,-,-,1.0084822748890164e-05,1.0084822748890164e-05,RING finger protein 156 RING-type E3 ubiquitin transferase MGRN1 mahogunin RING finger protein 1 mahogunin ring finger 1 E3 ubiquitin protein ligase probable E3 ubiquitin-protein ligase MGRN1,Enables ubiquitin-protein transferase activity. Involved in endosome to lysosome transport; negative regulation of signal transduction; and protein monoubiquitination. Located in several cellular components including early endosome; endoplasmic reticulum; and nucleus. [provided by Alliance of Genome Resources Apr 2022]
TJP2,0.35159475853430977,0.19471253058025814,+,+,1.5197525763315744e-05,8.416361814577833e-06,Friedreich ataxia region gene X104 (tight junction protein ZO-2) zona occludens 2 zonula occludens protein 2,This gene encodes a zonula occluden that is a member of the membrane-associated guanylate kinase homolog family. The encoded protein functions as a component of the tight junction barrier in epithelial and endothelial cells and is necessary for proper assembly of tight junctions. Mutations in this gene have been identified in patients with hypercholanemia and genomic duplication of a 270 kb region including this gene causes autosomal dominant deafness-51. Alternatively spliced transcripts encoding multiple isoforms have been observed for this gene. [provided by RefSeq Nov 2011]
C5orf55,0.0,1.0,-,-,0.0,0.15830242337545783,,
CGNL1,0.0,1.0,-,0,0.0,1.0,junction-associated coiled-coil protein paracingulin,This gene encodes a member of the cingulin family. The encoded protein localizes to both adherens and tight cell-cell junctions and mediates junction assembly and maintenance by regulating the activity of the small GTPases RhoA and Rac1. Heterozygous chromosomal rearrangements resulting in association of the promoter for this gene with the aromatase gene are a cause of aromatase excess syndrome. Alternatively spliced transcript variants have been observed for this gene. [provided by RefSeq Nov 2011]
ZFP36,0.0,1.0,-,-,0.0,0.11611652351681558,G0/G1 switch regulatory protein 24 growth factor-inducible nuclear protein NUP475 tristetraprolin tristetraproline zinc finger protein 36 homolog zinc finger protein 36 C3H type homolog,Enables several functions including 14-3-3 protein binding activity; heat shock protein binding activity; and mRNA 3-UTR AU-rich region binding activity. Involved in several processes including cellular response to cytokine stimulus; cellular response to growth factor stimulus; and regulation of gene expression. Acts upstream of or within mRNA catabolic process. Located in cytoplasmic ribonucleoprotein granule; cytosol; and nucleus. Part of ribonucleoprotein complex. Colocalizes with RISC-loading complex. [provided by Alliance of Genome Resources Apr 2022]
PTEN,1.0,0.0,+,+,0.373900966300059,0.0,,
FLJ22536,0.0,1.0,-,-,0.0,0.373900966300059,,
TMEM182,0.0,1.0,+,+,0.0,0.11611652351681558,,
CHDH,0.0,1.0,-,-,0.0,0.373900966300059,,
CHGB,1.0,0.0,-,-,0.373900966300059,0.0,,
ZDHHC8,1.0,0.0,-,-,0.373900966300059,0.0,,
SCAMP5,1.0,0.0,-,-,0.15830242337545783,0.0,,
E2F1,0.0,1.0,-,-,0.0,0.15830242337545783,,
LOC643988,0.0,1.0,-,-,0.0,0.007490433881274529,,
C4orf21,1.0,0.0,+,+,0.15830242337545783,0.0,,
ZDHHC13,1.0,0.0,+,+,0.11611652351681558,0.0,,
CHL1,0.0,1.0,+,0,0.0,1.0,,
TMEM158,0.0,1.0,-,+,0.0,0.11611652351681545,,
ANKRD13C,1.0,0.0,+,+,0.373900966300059,0.0,,
OSGIN1,0.0,1.0,-,-,0.0,0.1161165235168155,,
ZBTB44,1.0,0.0,0,+,1.0,0.0,,
DSP,0.0,1.0,+,0,0.0,1.0,,
TMEM42,1.0,0.0,+,+,0.1161165235168155,0.0,,
SDK1,0.0,1.0,-,0,0.0,1.0,,
PRRT3,1.0,0.0,-,-,0.11611652351681558,0.0,,
C2orf16,1.0,0.0,+,+,0.11611652351681558,0.0,,
PRR5L,1.0,0.0,+,+,0.007490433881274519,0.0,,
XYLB,1.0,0.0,-,-,0.373900966300059,0.0,,
XRRA1,1.0,0.0,0,+,1.0,0.0,,
NCRNA00085,1.0,0.0,-,-,0.1161165235168155,0.0,,
PALMD,0.0,1.0,-,0,0.0,1.0,,
DOCK11,1.0,0.0,+,+,0.373900966300059,0.0,,
SNX22,1.0,0.0,-,-,0.373900966300059,0.0,,
CLDN11,0.0,1.0,+,+,0.0,0.373900966300059,,
SNX18,0.0,1.0,+,+,0.0,0.01613008990009254,,
HIST2H3A,1.0,0.0,-,-,0.6433299631818633,0.0,,
C21orf34,1.0,0.0,-,+,0.373900966300059,0.0,,
YPEL1,1.0,0.0,-,-,0.373900966300059,0.0,,
ZC3H11A,1.0,0.0,-,+,0.373900966300059,0.0,,
C2orf48,1.0,0.0,+,+,0.373900966300059,0.0,,
TULP1,0.0,1.0,-,-,0.0,0.1161165235168155,,
LOC642361,1.0,0.0,+,+,0.373900966300059,0.0,,
ANXA2P3,1.0,0.0,+,+,0.373900966300059,0.0,,
TMEM194B,1.0,0.0,+,+,0.1161165235168155,0.0,,
CHST1,0.0,1.0,-,-,0.0,0.11611652351681558,,
SAMD5,0.0,1.0,+,0,0.0,1.0,,
ZBTB41,1.0,0.0,+,+,0.11611652351681558,0.0,,
CHST2,1.0,0.0,-,-,0.11611652351681558,0.0,,
SP4,0.0,1.0,+,+,0.0,0.1161165235168155,,
CHTF18,1.0,0.0,0,-,1.0,0.0,,
C2orf89,0.0,1.0,+,0,0.0,1.0,,
FMNL2,0.0,1.0,-,+,0.0,0.20510645520407753,,
C2orf85,0.0,1.0,-,0,0.0,1.0,,
TMEM217,0.0,1.0,-,-,0.0,0.373900966300059,,
PSD,0.0,1.0,-,0,0.0,1.0,,
PRX,0.0,1.0,-,-,0.0,0.11611652351681558,,
TMEM37,1.0,0.0,+,-,0.05723523110663152,0.0,,
SAMD4A,0.0,1.0,-,+,0.0,0.11611652351681558,,
SPON1,0.0,1.0,+,+,0.0,0.1161165235168155,,
SPIN3,1.0,0.0,+,+,0.11611652351681545,0.0,,
THAP2,1.0,0.0,+,+,0.11611652351681558,0.0,,
ZNF367,1.0,0.0,+,+,0.007490433881274519,0.0,,
CDON,1.0,0.0,+,+,0.18356686005527661,0.0,,
ELL2,0.0,1.0,-,0,0.0,1.0,,
THAP6,1.0,0.0,+,+,0.1161165235168155,0.0,,
ZNF354C,1.0,0.0,+,+,0.05723523110663147,0.0,,
FBXO32,0.0,1.0,-,0,0.0,1.0,,
ELFN1,0.0,1.0,-,-,0.0,0.4917670010221689,,
ZNF33B,1.0,0.0,+,+,0.15830242337545783,0.0,,
HTR7P1,0.0,1.0,-,0,0.0,1.0,,
THNSL1,1.0,0.0,+,+,0.13177756749413536,0.0,,
LRRC1,1.0,0.0,+,+,0.11611652351681558,0.0,,
EIF5A2,1.0,0.0,+,+,0.373900966300059,0.0,,
KDR,0.0,1.0,-,0,0.0,1.0,,
FBXW4,0.0,1.0,-,0,0.0,1.0,,
HYLS1,1.0,0.0,+,+,0.025721420742506516,0.0,,
LRP11,1.0,0.0,+,+,0.11611652351681558,0.0,,
ZNF407,1.0,0.0,+,+,0.11611652351681558,0.0,,
ST18,0.0,1.0,-,0,0.0,1.0,,
KCNK10,1.0,0.0,+,+,0.025721420742506516,0.0,,
NOG,0.0,1.0,+,0,0.0,1.0,,
RAGE,0.0,1.0,-,-,0.0,0.11611652351681558,,
ADRBK2,1.0,0.0,+,+,0.11611652351681558,0.0,,
ST8SIA1,1.0,0.0,0,+,1.0,0.0,,
ST7OT3,1.0,0.0,+,+,0.373900966300059,0.0,,
ZNF470,1.0,0.0,+,+,0.373900966300059,0.0,,
NMT2,1.0,0.0,+,+,0.1161165235168155,0.0,,
KCNMB4,1.0,0.0,+,+,0.373900966300059,0.0,,
AFF1,1.0,0.0,+,+,0.01613008990009254,0.0,,
KCNN1,1.0,0.0,-,-,0.007490433881274519,0.0,,
ZNF441,0.0,1.0,+,+,0.0,0.01613008990009254,,
ST3GAL5,1.0,0.0,0,+,1.0,0.0,,
EML4,0.0,1.0,+,0,0.0,1.0,,
EMILIN3,1.0,0.0,-,-,0.01613008990009254,0.0,,
AGBL4,0.0,1.0,+,+,0.0,0.11611652351681558,,
HSPG2,1.0,0.0,-,-,0.1161165235168155,0.0,,
KIAA0182,1.0,0.0,+,+,0.11611652351681558,0.0,,
KIAA0226,1.0,0.0,+,+,0.11611652351681558,0.0,,
NEUROG2,0.0,1.0,-,-,0.0,0.373900966300059,,
CEP72,0.0,1.0,+,+,0.0,0.373900966300059,,
ZNF136,0.0,1.0,+,+,0.0,0.01613008990009254,,
HS3ST5,1.0,0.0,0,+,1.0,0.0,,
PTRF,0.0,1.0,-,0,0.0,1.0,,
KIAA1731,1.0,0.0,+,+,0.11611652351681558,0.0,,
AMIGO1,0.0,1.0,-,-,0.0,0.373900966300059,,
S100PBP,1.0,0.0,+,+,0.2605745473680253,0.0,,
C6orf168,1.0,0.0,+,+,0.11611652351681558,0.0,,
C6orf154,0.0,1.0,-,-,0.0,0.1161165235168155,,
