"brain.1" "brain.2" "fetal.brain.1" "fetal.brain.2" "fetal.liver.1" "fetal.liver.2" "liver.1" "liver.2"
"1048_at" 284.109212681435 157.479958842387 232.640810288119 163.220002050328 198.751127786422 130.520276136225 218.586729184715 177.508254766556
"105_at" 149.139731086853 84.6267400219039 200.920688571631 134.131446652495 756.512623203025 886.259278525921 1475.90923733079 1490.06863767429
"1052_s_at" 992.921158165578 994.855964727171 576.740615889534 647.398975676145 10261.6245605685 10048.3986326086 2056.73462435762 2181.17733754732
"1053_at" 242.048465390079 257.178753776956 319.919101158599 289.870202130787 297.263321945243 497.647568359799 291.692816205953 269.563832912458
"1054_at" 67.0533863212189 62.0354598436444 109.6513553509 109.849185835847 99.4847795548938 168.918974289004 112.751389566891 44.8692355562742
"1055_g_at" 187.94264399645 101.326705604693 287.748177064365 386.131764042489 235.705302285671 381.283631202092 280.155718085603 183.281054899259
"1056_s_at" 122.838880413059 79.7204926818394 103.954433060756 169.557376329169 152.128179351321 202.437524344844 238.427511460424 240.288562329724
"1058_at" 2890.89039551774 3284.46702480123 1142.88471867955 1182.5668403591 19.5783197291262 16.9321614428263 60.1923087440171 52.1174375221189
"1059_at" 67.443917077139 66.0414302003561 166.733075404081 72.8733808383079 29.618593832032 24.5452818753514 9.56361714229022 91.3202461522338
"1060_g_at" 639.384570515487 360.596488350541 569.30617947449 395.785590882815 643.71428175561 368.008820362313 528.673472459737 831.261618177356
"1061_at" 310.497262172066 206.824261657349 383.47138150356 415.606501026741 555.609261319862 572.979750910348 351.86021189755 538.304015048566
"1063_s_at" 3422.43556370314 2872.16143613191 674.352951555171 773.320163304684 97.5115164800674 70.093836627627 121.396328340522 66.3227090359217
"1064_at" 184.768754571649 120.201272507833 365.36123200381 443.544058819757 115.389963636398 155.601453532555 35.9303162968517 9.82426203622503
"1073_at" 793.529870501314 475.452452627052 1536.2728714046 1477.19816957614 773.82595703866 857.392169130963 507.990268173792 463.284280202361
"1074_at" 305.012031911724 223.006944484828 830.327533591558 991.491643282902 316.410189290843 412.016978329225 122.895076150568 53.9832929566856
"1076_at" 36.1245492042645 40.3336758921572 92.2165960115657 90.2653114116201 104.832107103392 43.5302782233331 46.6747724950046 10.1663454027041
"1080_s_at" 34.5298849052336 29.4018485797779 16.0534065939239 10.6121178484387 39.8753994974439 9.70496720354232 1120.47990425992 3268.76666775125
